Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-07-25,J (Apr 2023),0.0000,29.0000,29.2500,0.0000,28.95,0,0,0,0
2022-07-26,J (Apr 2023),29.2500,29.2500,29.2500,29.2500,29.175,0.225,2,0,2
2022-07-27,J (Apr 2023),0.0000,28.4500,28.9000,0.0000,28.625,-0.550,0,0,2
2022-07-28,J (Apr 2023),28.3000,28.3500,28.3000,28.3000,28.70,0.075,1,0,3
2022-07-29,J (Apr 2023),28.4500,28.6500,28.4500,28.6500,28.125,-0.575,4,0,7
2022-08-01,J (Apr 2023),28.1900,28.5500,28.1900,28.3300,28.375,0.250,135,0,140
2022-08-02,J (Apr 2023),28.4000,28.9500,28.2500,28.9500,28.625,0.250,49,0,185
2022-08-03,J (Apr 2023),28.3300,28.3300,28.2100,28.2500,28.225,-0.400,15,0,189
2022-08-04,J (Apr 2023),28.3900,28.5000,28.3900,28.4400,28.475,0.250,123,0,288
2022-08-05,J (Apr 2023),28.6200,28.6200,28.5200,28.5200,28.475,0.000,13,0,288
2022-08-08,J (Apr 2023),28.3200,28.6000,28.3200,28.6000,28.50,0.025,9,0,294
2022-08-09,J (Apr 2023),28.6000,28.6000,28.5100,28.5500,28.55,0.05,78,0,349
2022-08-10,J (Apr 2023),31.0000,31.0000,28.0000,28.1000,28.00,-0.55,10,0,356
2022-08-11,J (Apr 2023),27.8500,28.1500,27.7500,28.0000,28.00,0.00,88,0,400
2022-08-12,J (Apr 2023),27.8500,28.0000,27.7500,27.7500,27.825,-0.175,60,0,456
2022-08-15,J (Apr 2023),27.7900,27.8500,27.7400,27.8500,27.725,-0.100,23,0,478
2022-08-16,J (Apr 2023),27.8000,27.8000,27.7000,27.7000,27.75,0.025,56,0,516
2022-08-17,J (Apr 2023),28.0500,28.0500,27.8000,27.9500,27.925,0.175,54,0,552
2022-08-18,J (Apr 2023),28.0000,28.0000,27.7700,27.8600,27.875,-0.050,52,0,573
2022-08-19,J (Apr 2023),28.1000,28.5300,28.0000,28.2600,28.25,0.375,388,0,728
2022-08-22,J (Apr 2023),28.6000,28.8000,28.4000,28.7500,28.75,0.50,191,0,810
2022-08-23,J (Apr 2023),28.7500,28.8000,28.4500,28.6500,28.60,-0.15,376,0,998
2022-08-24,J (Apr 2023),28.6200,28.6500,28.3500,28.4000,28.40,-0.20,80,0,1011
2022-08-25,J (Apr 2023),28.2000,28.3500,28.0000,28.1500,28.10,-0.30,611,0,1336
2022-08-26,J (Apr 2023),28.1500,29.0200,28.1000,28.9200,28.90,0.80,214,0,1391
2022-08-29,J (Apr 2023),29.0500,29.2000,28.6200,28.7700,28.725,-0.175,249,0,1436
2022-08-30,J (Apr 2023),28.6500,28.9500,28.6000,28.8000,28.825,0.100,233,0,1464
2022-08-31,J (Apr 2023),28.7800,28.8300,28.5800,28.7000,28.70,-0.125,352,0,1471
2022-09-01,J (Apr 2023),28.8000,29.1100,28.6000,28.6000,28.55,-0.15,169,0,1480
2022-09-02,J (Apr 2023),28.5000,28.8000,28.0500,28.5500,28.60,0.05,431,0,1579
2022-09-06,J (Apr 2023),28.4500,29.0000,28.3000,28.8000,28.775,0.175,759,0,1751
2022-09-07,J (Apr 2023),28.8700,28.9000,28.3000,28.3500,28.35,-0.425,332,0,1795
2022-09-08,J (Apr 2023),28.4000,28.6000,28.1500,28.1500,28.25,-0.10,269,0,1855
2022-09-09,J (Apr 2023),27.9500,28.2000,27.9000,28.2000,28.15,-0.10,577,0,2020
2022-09-12,J (Apr 2023),28.0300,28.2100,27.8500,28.0300,28.05,-0.10,644,0,2331
2022-09-13,J (Apr 2023),28.0500,29.2200,28.0000,29.0200,29.075,1.025,631,0,2359
2022-09-14,J (Apr 2023),29.0500,29.1500,28.8000,28.9000,29.00,-0.075,648,0,2634
2022-09-15,J (Apr 2023),28.9500,29.1000,28.7500,29.0500,28.95,-0.05,324,0,2641
2022-09-16,J (Apr 2023),29.1500,29.4400,28.8600,28.9500,28.95,0.00,371,0,2601
2022-09-19,J (Apr 2023),29.1500,29.2000,28.4000,28.4200,28.475,-0.475,347,0,2578
2022-09-20,J (Apr 2023),28.4000,28.8000,28.3500,28.6500,28.65,0.175,474,0,2663
2022-09-21,J (Apr 2023),28.6500,28.9000,28.2500,28.8200,28.80,0.15,1882,0,2488
2022-09-22,J (Apr 2023),28.9000,29.0500,28.5500,28.8200,28.8106,0.0106,2182,0,2907
2022-09-23,J (Apr 2023),28.8000,29.8200,28.7500,29.3000,29.4395,0.6289,2041,0,3160
2022-09-26,J (Apr 2023),29.6500,30.1700,29.2500,30.1000,30.1029,0.6634,2469,0,3296
2022-09-27,J (Apr 2023),30.2000,30.4500,29.6500,30.1200,30.1984,0.0955,2581,0,3635
2022-09-28,J (Apr 2023),30.0700,30.6500,29.6500,29.6700,29.725,-0.4734,2217,0,4073
2022-09-29,J (Apr 2023),29.6500,30.3600,29.6000,30.0100,30.0925,0.3675,2241,0,4209
2022-09-30,J (Apr 2023),30.0000,30.3000,29.6600,30.1500,30.2487,0.1562,2004,0,4295
2022-10-03,J (Apr 2023),30.3500,30.5000,29.4700,29.6000,29.70,-0.5487,2188,0,4581
2022-10-04,J (Apr 2023),29.5400,29.6000,29.1400,29.5200,29.5778,-0.1222,1774,0,4667
2022-10-05,J (Apr 2023),29.5100,30.0200,29.5100,29.5600,29.6708,0.0930,1788,0,4882
2022-10-06,J (Apr 2023),29.5800,30.1000,29.4000,30.1000,30.05,0.3792,1668,0,5262
2022-10-07,J (Apr 2023),30.1500,30.7600,29.9500,30.6500,30.5089,0.4589,1945,0,5582
2022-10-10,J (Apr 2023),30.7000,31.0500,30.5500,30.8000,30.8333,0.3244,2070,0,5468
2022-10-11,J (Apr 2023),30.8100,31.2300,30.6100,31.0500,31.1559,0.3226,2171,0,5675
2022-10-12,J (Apr 2023),31.0900,31.2000,30.8000,31.0700,31.0419,-0.1140,2238,0,6133
2022-10-13,J (Apr 2023),31.0500,31.4500,30.3000,30.3500,30.40,-0.6419,2627,0,6082
2022-10-14,J (Apr 2023),30.3000,31.2500,29.9500,30.9500,30.95,0.55,3335,0,6341
2022-10-17,J (Apr 2023),30.9200,30.9500,30.1500,30.3500,30.4589,-0.4911,2996,0,6528
2022-10-18,J (Apr 2023),30.2700,30.3500,29.9700,29.9700,30.10,-0.3589,2565,0,6914
2022-10-19,J (Apr 2023),29.9700,30.5000,29.8500,30.2200,30.20,0.10,2888,0,7371
2022-10-20,J (Apr 2023),30.2200,30.4300,29.8800,30.1900,30.2167,0.0167,4241,0,8211
2022-10-21,J (Apr 2023),30.1600,30.3500,29.9000,30.0100,30.122,-0.0947,2872,0,8719
2022-10-24,J (Apr 2023),30.0000,30.3500,29.8000,29.9000,29.8911,-0.2309,3309,0,9277
2022-10-25,J (Apr 2023),29.8600,30.0000,29.3000,29.5000,29.35,-0.5411,2752,0,9269
2022-10-26,J (Apr 2023),29.5500,29.7000,28.8500,29.0200,29.0483,-0.3017,4144,0,9448
2022-10-27,J (Apr 2023),29.0300,29.2500,28.7400,29.0700,28.9435,-0.1048,3426,0,9729
2022-10-28,J (Apr 2023),29.0500,29.1500,28.3000,28.4000,28.461,-0.4825,3929,0,10006
2022-10-31,J (Apr 2023),28.4500,28.7000,28.3800,28.4200,28.4136,-0.0474,2637,0,10430
2022-11-01,J (Apr 2023),28.4200,28.4200,28.0500,28.1200,28.0837,-0.3299,2690,0,10700
2022-11-02,J (Apr 2023),28.1000,28.5000,27.7800,28.4000,28.4426,0.3589,4157,0,10935
2022-11-03,J (Apr 2023),28.4300,28.6500,27.8500,28.0300,28.0485,-0.3941,3454,0,10903
2022-11-04,J (Apr 2023),28.1000,28.1800,27.3800,27.6700,27.6576,-0.3909,3590,0,11105
2022-11-07,J (Apr 2023),27.9000,27.9000,27.4100,27.5600,27.55,-0.1076,2608,0,10986
2022-11-08,J (Apr 2023),27.6000,28.0000,27.4200,27.8800,27.8924,0.3424,3699,0,10877
2022-11-09,J (Apr 2023),27.8500,28.5600,27.7000,28.5000,28.525,0.6326,3769,0,11414
2022-11-10,J (Apr 2023),28.5000,28.5000,27.4500,27.7700,27.8046,-0.7204,5035,0,11255
2022-11-11,J (Apr 2023),27.7500,28.0200,27.6500,27.9700,27.9766,0.1720,4218,0,11318
2022-11-14,J (Apr 2023),27.9900,28.1200,27.6500,28.0200,28.10,0.1234,5507,0,12184
2022-11-15,J (Apr 2023),28.0500,28.3700,27.6900,28.2700,28.20,0.10,6488,0,12877
2022-11-16,J (Apr 2023),28.3800,28.3800,27.9000,28.0100,27.9732,-0.2268,6070,0,13555
2022-11-17,J (Apr 2023),27.9600,28.3800,27.8300,27.9300,27.856,-0.1172,4561,0,14254
2022-11-18,J (Apr 2023),27.9000,28.0100,27.6500,27.7000,27.75,-0.106,2873,0,14405
2022-11-21,J (Apr 2023),27.6700,27.8000,27.3000,27.3300,27.35,-0.40,6763,0,14859
2022-11-22,J (Apr 2023),27.3200,27.4000,26.7500,26.8200,26.8204,-0.5296,4156,0,15107
2022-11-23,J (Apr 2023),26.8000,26.9000,26.5000,26.5000,26.55,-0.2704,3241,0,15115
