Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2014-08-25,K (May 2015),0.0000,17.0000,19.5000,0.0000,18.2500,0,0,0,0
2014-08-26,K (May 2015),17.4700,17.7000,17.4700,17.7000,17.7500,-0.5000,11,0,9
2014-08-27,K (May 2015),17.7500,17.9000,17.7000,17.9000,17.9000,0.1500,203,0,248
2014-08-28,K (May 2015),17.9500,18.1600,17.7800,17.8900,17.9000,0.0000,255,0,405
2014-08-29,K (May 2015),17.8000,17.9700,17.7500,17.8200,17.5500,-0.3500,83,0,436
2014-09-02,K (May 2015),17.9100,17.9400,17.2000,17.8800,17.8500,0.3000,170,0,455
2014-09-03,K (May 2015),17.8000,17.8500,17.7500,17.7700,17.8000,-0.0500,148,0,545
2014-09-04,K (May 2015),17.7800,17.8500,17.6400,17.8000,17.7500,-0.0500,69,0,607
2014-09-05,K (May 2015),17.7500,17.8500,17.5500,17.5700,17.5500,-0.2000,305,0,944
2014-09-08,K (May 2015),17.7000,17.7000,17.6000,17.6500,17.6000,0.0500,13,0,896
2014-09-09,K (May 2015),17.6200,17.7500,17.5800,17.7000,17.7000,0.1000,207,0,997
2014-09-10,K (May 2015),17.6000,17.8600,17.6000,17.6000,17.6500,-0.0500,330,0,1240
2014-09-11,K (May 2015),17.6800,17.8500,17.6800,17.6800,17.7500,0.1000,17,0,1246
2014-09-12,K (May 2015),17.7000,17.9500,17.7000,17.8700,17.9000,0.1500,29,0,1262
2014-09-15,K (May 2015),17.8600,18.1000,17.8200,18.0200,18.1000,0.2000,132,0,1310
2014-09-16,K (May 2015),18.1000,18.2000,17.6500,17.7300,17.7000,-0.4000,198,0,1381
2014-09-17,K (May 2015),17.6500,17.8100,17.5500,17.7500,17.7500,0.0500,218,0,1550
2014-09-18,K (May 2015),17.7000,17.7700,17.6500,17.7100,17.7500,0.0000,838,0,2393
2014-09-19,K (May 2015),17.7200,17.8500,17.6300,17.8200,17.8000,0.0500,942,0,3181
2014-09-22,K (May 2015),17.8200,17.9600,17.7500,17.9200,17.9500,0.1500,939,0,3390
2014-09-23,K (May 2015),17.9800,18.2500,17.9000,18.2500,18.2500,0.3000,1329,0,4040
2014-09-24,K (May 2015),18.1400,18.2500,17.9500,18.0500,18.1000,-0.1500,597,0,4043
