Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2024-12-23,U (Sep 2025),0.0000,18.3500,0.0000,0.0000,18.7493,0,0,0,0
2024-12-24,U (Sep 2025),19.1000,19.1000,18.9000,18.9500,18.825,0.0757,31,0,30
2024-12-26,U (Sep 2025),18.9000,19.0000,18.8000,18.8500,18.95,0.125,6,0,30
2024-12-27,U (Sep 2025),19.1000,19.3500,18.8500,19.1000,19.175,0.225,2,0,30
2024-12-30,U (Sep 2025),19.1000,19.7000,19.1000,19.2500,19.20,0.025,10,0,32
2024-12-31,U (Sep 2025),19.2000,19.3500,19.1500,19.2000,19.325,0.125,2,0,34
2025-01-02,U (Sep 2025),19.3000,19.7500,19.1500,19.3000,19.40,0.075,4,0,36
2025-01-03,U (Sep 2025),19.3000,19.3000,19.0500,19.1700,19.025,-0.375,16,0,51
2025-01-06,U (Sep 2025),18.8500,18.9000,18.7500,18.8000,18.775,-0.250,7,0,54
2025-01-07,U (Sep 2025),19.1000,19.2000,18.8000,19.1000,19.20,0.425,2,0,56
2025-01-08,U (Sep 2025),0.0000,19.6000,19.2500,0.0000,19.2937,0.0937,0,0,56
2025-01-09,U (Sep 2025),0.0000,19.4000,19.5000,0.0000,19.725,0.4313,0,0,56
2025-01-10,U (Sep 2025),19.9000,20.0000,19.4500,19.7000,19.65,-0.075,10,0,56
2025-01-13,U (Sep 2025),20.1400,20.1400,19.3900,19.7000,19.75,0.10,106,0,150
2025-01-14,U (Sep 2025),19.4000,19.7000,19.3800,19.5500,19.50,-0.25,173,0,288
2025-01-15,U (Sep 2025),19.2200,19.4500,19.0500,19.1000,19.0842,-0.4158,17,0,294
2025-01-16,U (Sep 2025),19.1000,19.1500,19.0500,19.1000,19.025,-0.0592,3,0,293
2025-01-17,U (Sep 2025),0.0000,19.1000,19.0000,0.0000,19.10,0.075,0,0,293
2025-01-21,U (Sep 2025),19.1500,19.4000,18.8500,19.0500,18.95,-0.15,11,0,297
2025-01-22,U (Sep 2025),18.9500,19.0000,18.9000,19.0000,18.9396,-0.0104,6,0,297
2025-01-23,U (Sep 2025),18.9000,18.9000,18.8000,18.8000,18.85,-0.0896,102,0,347
2025-01-24,U (Sep 2025),18.9000,18.9500,18.8000,18.8500,18.85,0.00,76,0,391
2025-01-27,U (Sep 2025),19.4500,20.8500,18.9000,19.1000,19.125,0.275,104,0,426
2025-01-28,U (Sep 2025),19.2000,19.4000,18.7500,18.7500,18.7791,-0.3459,30,0,438
2025-01-29,U (Sep 2025),18.8500,19.0500,18.8000,18.8500,18.822,0.0429,200,0,611
2025-01-30,U (Sep 2025),18.7300,19.0000,18.6500,18.9500,18.9439,0.1219,150,0,705
2025-01-31,U (Sep 2025),18.8500,19.2700,18.8000,19.2500,19.20,0.2561,105,0,760
2025-02-03,U (Sep 2025),19.6500,19.8800,18.9500,19.0000,19.1905,-0.0095,28,0,764
2025-02-04,U (Sep 2025),19.1000,19.8500,18.9400,19.0700,18.9596,-0.2309,56,0,816
2025-02-05,U (Sep 2025),19.1500,19.1500,18.8500,18.9000,18.8985,-0.0611,57,0,880
2025-02-06,U (Sep 2025),18.8800,19.0500,18.8500,18.9400,18.9272,0.0287,155,0,974
2025-02-07,U (Sep 2025),18.9000,19.3000,18.8500,19.1500,19.275,0.3478,383,0,1152
2025-02-10,U (Sep 2025),19.1000,19.2000,19.0500,19.1500,19.1396,-0.1354,124,0,1197
2025-02-11,U (Sep 2025),19.2000,19.2500,19.1300,19.2200,19.2306,0.0910,56,0,1231
2025-02-12,U (Sep 2025),19.2500,19.5000,19.1500,19.2000,19.2162,-0.0144,95,0,1247
2025-02-13,U (Sep 2025),19.2400,19.3500,19.1200,19.2000,19.20,-0.0162,188,0,1382
2025-02-14,U (Sep 2025),19.2200,19.4000,19.1500,19.3000,19.3813,0.1813,286,0,1547
2025-02-18,U (Sep 2025),19.2700,19.4000,19.2400,19.3800,19.3946,0.0133,634,0,1904
2025-02-19,U (Sep 2025),19.3500,19.5500,19.3500,19.4400,19.4568,0.0622,838,0,2339
2025-02-20,U (Sep 2025),19.4100,19.6500,19.3500,19.4100,19.4509,-0.0059,629,0,2430
2025-02-21,U (Sep 2025),19.4000,20.0700,19.3500,19.9000,19.925,0.4741,950,0,2600
2025-02-24,U (Sep 2025),19.7600,20.1000,19.6500,19.8800,19.9156,-0.0094,765,0,2878
2025-02-25,U (Sep 2025),19.8500,20.2000,19.7000,19.8000,19.8297,-0.0859,1253,0,2843
2025-02-26,U (Sep 2025),19.7100,20.0500,19.5900,19.6500,19.775,-0.0547,794,0,3043
2025-02-27,U (Sep 2025),19.6500,20.2100,19.6300,20.1500,20.125,0.350,1320,0,3469
2025-02-28,U (Sep 2025),20.0600,20.4600,19.8500,19.9200,19.9181,-0.2069,1450,0,3667
2025-03-03,U (Sep 2025),19.7200,20.9400,19.7000,20.4800,20.6008,0.6827,2140,0,3874
2025-03-04,U (Sep 2025),20.5300,21.1500,20.2500,20.3300,20.525,-0.0758,3445,0,5001
2025-03-05,U (Sep 2025),20.3000,20.6500,20.1500,20.4000,20.3215,-0.2035,765,0,5047
2025-03-06,U (Sep 2025),20.3000,21.1500,20.2800,21.0600,21.1034,0.7819,2098,0,5315
2025-03-07,U (Sep 2025),21.1000,21.3000,20.6000,20.6000,20.6541,-0.4493,1222,0,5431
2025-03-10,U (Sep 2025),20.5000,21.5500,20.4700,21.3500,21.4913,0.8372,1330,0,5505
2025-03-11,U (Sep 2025),21.2500,22.1500,21.1500,21.4700,21.416,-0.0753,3041,0,5598
2025-03-12,U (Sep 2025),21.4100,21.4100,20.7700,20.9800,20.9237,-0.4923,1827,0,5545
2025-03-13,U (Sep 2025),21.0000,21.5500,20.7500,21.2700,21.3212,0.3975,2580,0,6014
2025-03-14,U (Sep 2025),21.0900,21.1500,20.4400,20.6500,20.467,-0.8542,3159,0,6121
2025-03-17,U (Sep 2025),20.6500,20.7500,20.2500,20.3900,20.2814,-0.1856,5128,0,6310
2025-03-18,U (Sep 2025),20.3000,20.6800,20.1500,20.4700,20.4429,0.1615,2511,0,6308
2025-03-19,U (Sep 2025),20.5000,20.6800,19.9700,20.1800,20.1839,-0.2590,2606,0,6535
2025-03-20,U (Sep 2025),20.1500,20.3200,19.9200,20.0500,20.0508,-0.1331,1961,0,6557
2025-03-21,U (Sep 2025),20.0500,20.3200,19.9200,19.9500,19.975,-0.0758,2253,0,6635
2025-03-24,U (Sep 2025),19.8300,19.9000,19.2500,19.3000,19.2522,-0.7228,3775,0,6714
2025-03-25,U (Sep 2025),19.2700,19.5000,19.1600,19.4700,19.4847,0.2325,1632,0,6572
2025-03-26,U (Sep 2025),19.4300,20.0500,19.3600,19.8700,19.8777,0.3930,1927,0,6518
2025-03-27,U (Sep 2025),19.9100,20.1000,19.7500,19.8600,19.85,-0.0277,1432,0,6481
2025-03-28,U (Sep 2025),19.8600,20.8000,19.8600,20.8000,20.6241,0.7741,4300,0,6897
2025-03-31,U (Sep 2025),20.7700,21.3600,20.5700,20.7200,20.6426,0.0185,3730,0,6965
2025-04-01,U (Sep 2025),20.7500,21.1000,20.5000,20.7000,20.6965,0.0539,2705,0,7162
2025-04-02,U (Sep 2025),20.7100,21.2500,19.9500,21.2400,20.4013,-0.2952,3478,0,7312
2025-04-03,U (Sep 2025),21.3000,22.5500,21.3000,22.4000,22.5018,2.1005,9414,53,7449
2025-04-04,U (Sep 2025),22.3500,24.7600,22.0500,23.9000,23.7579,1.2561,9840,0,7989
2025-04-07,U (Sep 2025),25.0000,27.0000,21.8500,23.1600,23.1904,-0.5675,9075,0,8222
2025-04-08,U (Sep 2025),23.0000,25.1000,22.5000,24.3200,23.9505,0.7601,8221,0,9128
2025-04-09,U (Sep 2025),24.3500,26.1500,21.5000,21.6500,21.6203,-2.3302,12433,0,10387
2025-04-10,U (Sep 2025),21.8500,24.9200,21.5200,23.6600,23.8603,2.2400,10969,0,11195
2025-04-11,U (Sep 2025),23.4000,25.1500,23.1500,24.0900,24.2144,0.3541,5638,0,11756
2025-04-14,U (Sep 2025),23.3500,24.0000,23.1000,23.6500,23.4036,-0.8108,5384,0,12500
2025-04-15,U (Sep 2025),23.7000,24.0000,23.0500,23.5700,23.4776,0.0740,4007,0,12926
2025-04-16,U (Sep 2025),23.7500,24.4600,23.3000,24.2800,24.3337,0.8561,6586,0,13282
2025-04-17,U (Sep 2025),24.3000,24.4500,23.8000,23.9500,24.0616,-0.2721,5335,0,12768
2025-04-21,U (Sep 2025),23.9000,25.1000,23.8000,25.0000,25.0378,0.9762,6668,0,13243
2025-04-22,U (Sep 2025),24.9500,25.1000,24.1800,24.2700,24.2362,-0.8016,3441,0,13058
2025-04-23,U (Sep 2025),23.8500,24.0500,23.4500,23.7500,23.8601,-0.3761,6406,0,13534
2025-04-24,U (Sep 2025),23.9000,24.0700,23.1500,23.2200,23.2562,-0.6039,5630,0,12503
2025-04-25,U (Sep 2025),23.1700,23.5500,22.7500,22.8200,22.7972,-0.4590,4497,0,12114
2025-04-28,U (Sep 2025),22.8500,23.4500,22.7200,23.0200,22.9307,0.1335,4087,0,12189
2025-04-29,U (Sep 2025),23.0300,23.2000,22.7000,22.8700,22.8634,-0.0673,4754,0,12154
2025-04-30,U (Sep 2025),22.8300,23.6100,22.7500,22.9800,23.0746,0.2112,6938,0,12101
2025-05-01,U (Sep 2025),23.0100,23.0800,22.6600,22.8900,22.85,-0.2246,4766,0,11649
2025-05-02,U (Sep 2025),22.9500,23.0000,22.2000,22.2500,22.25,-0.60,4154,0,11486
2025-05-05,U (Sep 2025),22.3500,22.5500,22.2500,22.4600,22.45,0.20,2950,0,11353
2025-05-06,U (Sep 2025),22.4800,23.0200,22.4000,23.0000,22.85,0.40,3148,0,11497
2025-05-07,U (Sep 2025),22.8000,23.0000,22.5300,22.6500,22.5732,-0.2768,2712,0,11328
2025-05-08,U (Sep 2025),22.6500,22.7000,22.1500,22.2600,22.2325,-0.3407,5159,0,11508
2025-05-09,U (Sep 2025),22.2500,22.3000,21.9500,22.0700,22.0503,-0.1822,4856,0,11198
2025-05-12,U (Sep 2025),21.9500,21.9600,20.3500,20.3500,20.4007,-1.6496,8162,0,11488
2025-05-13,U (Sep 2025),20.3600,20.5200,20.0000,20.4700,20.3683,-0.0324,7139,0,12051
2025-05-14,U (Sep 2025),20.5700,20.7100,20.3100,20.4900,20.55,0.1817,4404,0,11834
2025-05-15,U (Sep 2025),20.5500,20.7500,20.3800,20.4000,20.4026,-0.1474,4817,0,12335
2025-05-16,U (Sep 2025),20.4000,20.7100,20.2500,20.6700,20.558,0.1554,4399,0,12346
2025-05-19,U (Sep 2025),20.8300,21.2500,20.5500,20.7400,20.7867,0.2287,4464,0,12660
2025-05-20,U (Sep 2025),20.7700,21.0100,20.6500,20.6900,20.775,-0.0117,5632,0,13609
2025-05-21,U (Sep 2025),20.7000,21.7400,20.7000,21.7000,21.6498,0.8748,5804,0,13458
2025-05-22,U (Sep 2025),21.7000,21.9000,21.3500,21.5100,21.5937,-0.0561,5506,0,13219
2025-05-23,U (Sep 2025),21.5000,22.6600,21.5000,22.2200,22.1977,0.6040,8759,0,13793
2025-05-27,U (Sep 2025),22.1000,22.1500,21.0000,21.0500,21.125,-1.0727,5887,0,14008
2025-05-28,U (Sep 2025),21.0000,21.4500,21.0000,21.1800,21.375,0.250,4130,0,14166
2025-05-29,U (Sep 2025),21.1500,21.5800,20.8800,21.5500,21.4994,0.1244,4914,0,14220
2025-05-30,U (Sep 2025),21.5500,22.0200,21.4500,21.6600,21.6301,0.1307,4566,0,14118
2025-06-02,U (Sep 2025),21.7000,22.1800,21.4500,21.5300,21.5518,-0.0783,4514,0,15112
2025-06-03,U (Sep 2025),21.5000,21.7500,21.2700,21.4000,21.3969,-0.1549,6937,0,16389
2025-06-04,U (Sep 2025),21.4100,21.5000,21.2200,21.4600,21.427,0.0301,4027,0,17149
2025-06-05,U (Sep 2025),21.4600,21.8800,21.1200,21.8500,21.7479,0.3209,8673,0,19298
2025-06-06,U (Sep 2025),21.9500,21.9500,21.2100,21.3000,21.2991,-0.4488,4579,0,19850
2025-06-09,U (Sep 2025),21.3000,21.4500,21.1000,21.2500,21.2498,-0.0493,5102,0,20991
2025-06-10,U (Sep 2025),21.2800,21.3700,21.1500,21.2800,21.273,0.0232,7613,82,22967
2025-06-11,U (Sep 2025),21.3000,21.4500,20.8100,21.3200,21.3921,0.1191,11757,980,24211
2025-06-12,U (Sep 2025),21.3500,21.6600,21.2500,21.4800,21.5012,0.1091,7294,0,25435
2025-06-13,U (Sep 2025),21.4500,23.2200,21.4500,22.1800,22.2977,0.7965,14479,0,26175
2025-06-16,U (Sep 2025),22.2500,22.2900,21.2000,21.4600,21.4256,-0.8721,9377,0,27161
2025-06-17,U (Sep 2025),21.4700,22.3000,21.4500,22.0300,22.0164,0.5908,14162,0,28401
2025-06-18,U (Sep 2025),22.0000,22.2500,21.4500,21.6500,21.7515,-0.2649,18255,0,30236
2025-06-20,U (Sep 2025),21.7200,22.5200,21.6000,21.9300,21.9545,0.2030,15514,0,31856
2025-06-23,U (Sep 2025),22.5000,22.9500,21.6500,21.6900,21.80,-0.1545,14767,0,32213
2025-06-24,U (Sep 2025),21.6500,21.6500,20.8500,20.9300,20.9495,-0.8505,14809,0,34784
2025-06-25,U (Sep 2025),20.9500,21.0000,20.7000,20.7900,20.80,-0.1495,7389,0,34594
2025-06-26,U (Sep 2025),20.8000,20.8700,20.5500,20.7100,20.6837,-0.1163,9573,0,36221
2025-06-27,U (Sep 2025),20.7100,20.8600,20.5500,20.7400,20.7425,0.0588,10012,0,37255
2025-06-30,U (Sep 2025),20.7500,20.8000,20.5500,20.7600,20.7012,-0.0413,13004,81,39195
2025-07-01,U (Sep 2025),20.7600,20.9000,20.6000,20.7800,20.7988,0.0976,14052,0,41496
2025-07-02,U (Sep 2025),20.7800,20.8500,20.5500,20.7500,20.7933,-0.0055,10970,0,42500
2025-07-03,U (Sep 2025),20.7500,20.8000,20.5000,20.7500,20.7521,-0.0412,9693,0,43788
2025-07-07,U (Sep 2025),20.7700,21.2000,20.6900,20.9900,20.9478,0.1957,19704,0,45982
2025-07-08,U (Sep 2025),20.9700,21.0200,20.5000,20.5500,20.675,-0.2728,19594,0,48771
2025-07-09,U (Sep 2025),20.6000,20.6500,20.3200,20.4900,20.425,-0.250,22579,0,54118
2025-07-10,U (Sep 2025),20.5100,20.6000,20.3000,20.3100,20.3494,-0.0756,20053,0,58931
2025-07-11,U (Sep 2025),20.3500,20.6700,20.2500,20.4800,20.4012,0.0518,22822,0,59111
2025-07-14,U (Sep 2025),20.6500,20.8000,20.5000,20.6300,20.7014,0.3002,21418,2110,62459
2025-07-15,U (Sep 2025),20.6400,20.9000,20.3600,20.8300,20.6957,-0.0057,30765,0,63119
2025-07-16,U (Sep 2025),20.8000,21.6500,20.6100,20.8700,20.9535,0.2578,58138,0,65831
2025-07-17,U (Sep 2025),20.8700,21.0000,20.6600,20.8500,20.9494,-0.0041,46108,0,70334
2025-07-18,U (Sep 2025),20.8500,20.9000,20.6500,20.7500,20.8192,-0.1302,36684,280,76091
2025-07-21,U (Sep 2025),20.7500,20.8000,20.4000,20.6900,20.6923,-0.1269,44086,223,79035
2025-07-22,U (Sep 2025),20.6600,21.0600,20.5800,20.7100,20.705,0.0127,42185,0,83372
2025-07-23,U (Sep 2025),20.6800,20.7000,19.9200,19.9200,20.0524,-0.6526,56039,277,93051
2025-07-24,U (Sep 2025),19.9500,20.0500,19.8000,19.8500,19.8785,-0.1739,63491,390,106905
2025-07-25,U (Sep 2025),19.8500,20.0000,19.7000,19.7700,19.7887,-0.0898,43491,385,113167
2025-07-28,U (Sep 2025),19.6000,19.6500,18.9500,19.2500,19.3055,-0.4832,61151,365,122950
2025-07-29,U (Sep 2025),19.2200,19.8000,19.0500,19.7300,19.7103,0.4048,64971,0,131160
2025-07-30,U (Sep 2025),19.7200,20.0000,19.4000,19.4500,19.7879,0.0776,72811,0,136989
2025-07-31,U (Sep 2025),19.4500,20.0200,19.1800,19.9400,19.8708,0.0829,79575,2075,147590
2025-08-01,U (Sep 2025),19.9000,21.4500,19.8800,21.0500,21.1103,1.2395,151609,269,146957
2025-08-04,U (Sep 2025),21.1000,21.2300,19.8300,19.8500,19.9853,-1.1250,77618,720,157972
2025-08-05,U (Sep 2025),19.8500,20.6500,19.6000,20.1700,20.1609,0.1756,74959,0,165300
