Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-04-25,F (Jan 2023),0.0000,26.0000,28.5000,0.0000,27.25,0,0,0,0
2022-04-26,F (Jan 2023),0.0000,27.4000,28.2500,0.0000,27.80,0.55,0,0,0
2022-04-27,F (Jan 2023),0.0000,27.2500,27.9500,0.0000,27.75,-0.05,0,0,0
2022-04-28,F (Jan 2023),27.9000,27.9000,27.2000,27.5100,27.35,-0.40,35,0,30
2022-04-29,F (Jan 2023),0.0000,27.4000,27.6500,0.0000,27.825,0.475,0,0,30
2022-05-02,F (Jan 2023),28.0000,28.5000,28.0000,28.1400,28.025,0.200,7,0,34
2022-05-03,F (Jan 2023),27.8700,28.1500,27.7000,27.7000,27.825,-0.200,5,0,38
2022-05-04,F (Jan 2023),27.6500,27.7500,26.8700,26.8700,26.925,-0.900,19,0,53
2022-05-05,F (Jan 2023),27.2000,28.4000,27.1000,27.8500,28.475,1.550,2,0,54
2022-05-06,F (Jan 2023),28.5500,29.0500,28.5500,28.7500,28.65,0.175,3,0,57
2022-05-09,F (Jan 2023),29.4000,29.4200,29.1000,29.4200,29.50,0.85,3,0,57
2022-05-10,F (Jan 2023),0.0000,29.3000,29.0500,0.0000,29.075,-0.425,0,0,57
2022-05-11,F (Jan 2023),28.7600,29.3500,28.7500,29.2000,29.30,0.225,23,0,76
2022-05-12,F (Jan 2023),29.5000,29.5000,29.1000,29.1000,29.15,-0.15,22,0,98
2022-05-13,F (Jan 2023),28.7000,28.7100,28.4000,28.4000,28.575,-0.575,36,0,134
2022-05-16,F (Jan 2023),28.3500,28.6000,28.3500,28.5200,28.45,-0.125,17,0,145
2022-05-17,F (Jan 2023),28.4100,28.4100,28.1000,28.2000,28.25,-0.20,9,0,152
2022-05-18,F (Jan 2023),28.5500,29.5000,28.4000,29.3900,29.375,1.125,41,0,169
2022-05-19,F (Jan 2023),29.5000,29.6500,28.8500,28.8500,28.95,-0.425,120,0,216
2022-05-20,F (Jan 2023),28.7100,29.8000,28.7000,29.1400,29.15,0.20,55,0,217
2022-05-23,F (Jan 2023),28.8500,29.1000,28.7500,28.9500,28.95,-0.20,30,0,226
2022-05-24,F (Jan 2023),29.2000,29.5000,28.9500,28.9500,28.95,0.00,110,0,250
2022-05-25,F (Jan 2023),29.1500,29.1500,28.6000,28.7000,28.60,-0.35,119,0,333
2022-05-26,F (Jan 2023),28.7000,28.7500,28.1500,28.5500,28.65,0.05,450,0,603
2022-05-27,F (Jan 2023),28.4300,28.5000,28.2500,28.3500,28.30,-0.35,101,0,649
2022-05-31,F (Jan 2023),28.4000,28.8500,28.3500,28.5000,28.50,0.20,91,0,684
2022-06-01,F (Jan 2023),28.2500,28.8000,28.1000,28.3600,28.35,-0.15,406,0,861
2022-06-02,F (Jan 2023),28.3200,28.4000,27.8500,27.9500,27.90,-0.45,166,0,931
2022-06-03,F (Jan 2023),27.9500,28.3700,27.9500,28.3500,28.275,0.375,411,0,1197
2022-06-06,F (Jan 2023),28.0500,28.5000,28.0500,28.4500,28.45,0.175,669,0,1205
2022-06-07,F (Jan 2023),28.4500,28.8100,28.2500,28.3000,28.2952,-0.1548,486,0,1451
2022-06-08,F (Jan 2023),28.4800,28.6500,28.2700,28.3900,28.375,0.0798,612,0,1748
2022-06-09,F (Jan 2023),28.4500,28.9900,28.3000,28.9900,28.95,0.575,275,0,1891
2022-06-10,F (Jan 2023),29.0500,30.0000,29.0000,29.7000,29.70,0.75,1318,0,2435
2022-06-13,F (Jan 2023),30.0000,31.0000,29.8000,30.9000,30.95,1.25,622,0,2652
2022-06-14,F (Jan 2023),30.8400,31.1500,30.5000,30.8500,30.775,-0.175,935,0,3016
2022-06-15,F (Jan 2023),30.7700,30.9000,29.5500,29.9000,30.0814,-0.6936,1853,0,3437
2022-06-16,F (Jan 2023),29.6500,31.2000,29.6500,31.0200,31.10,1.0186,1870,0,3507
2022-06-17,F (Jan 2023),30.9100,31.0200,30.3100,30.4000,30.3833,-0.7167,1926,0,3614
2022-06-21,F (Jan 2023),30.4000,30.9000,29.5000,29.7800,29.95,-0.4333,2569,0,4179
2022-06-22,F (Jan 2023),29.7500,30.3000,29.4500,29.5700,29.4955,-0.4545,1249,0,4374
2022-06-23,F (Jan 2023),29.7000,29.8000,29.3500,29.5500,29.50,0.0045,1155,0,4524
2022-06-24,F (Jan 2023),29.4500,29.5000,29.0000,29.1100,29.2089,-0.2911,1633,0,5000
2022-06-27,F (Jan 2023),29.2000,29.2500,28.8000,28.8400,28.925,-0.2839,1572,0,5443
2022-06-28,F (Jan 2023),28.8500,29.4000,28.6900,29.3200,29.3192,0.3942,1042,0,5610
2022-06-29,F (Jan 2023),29.4000,29.6700,29.2400,29.3200,29.4128,0.0936,1005,0,5841
2022-06-30,F (Jan 2023),29.3500,30.0000,29.3500,29.6200,29.5981,0.1853,1160,0,6094
2022-07-01,F (Jan 2023),29.6500,29.8500,29.2000,29.3000,29.35,-0.2481,1635,0,6427
2022-07-05,F (Jan 2023),29.3500,29.8500,29.1000,29.2200,29.2014,-0.1486,1640,0,6536
2022-07-06,F (Jan 2023),29.3000,29.5500,29.1500,29.2100,29.20,-0.0014,2044,0,6673
2022-07-07,F (Jan 2023),29.2500,29.3000,28.9000,29.1400,29.16,-0.04,1482,0,7055
2022-07-08,F (Jan 2023),29.1500,29.2500,28.8300,28.9500,28.9705,-0.1895,1948,0,7426
2022-07-11,F (Jan 2023),29.0000,29.4300,28.9500,29.3500,29.37,0.3995,1303,0,7637
2022-07-12,F (Jan 2023),29.4000,29.6500,29.2000,29.5200,29.50,0.13,1674,0,7915
2022-07-13,F (Jan 2023),29.5000,30.0000,29.3000,29.7500,29.65,0.15,2262,0,8430
2022-07-14,F (Jan 2023),29.8000,30.3100,29.6500,29.7900,29.7558,0.1058,3002,0,8544
2022-07-15,F (Jan 2023),29.8000,29.9500,29.2000,29.3000,29.288,-0.4678,2668,0,8626
2022-07-18,F (Jan 2023),29.2500,29.8000,29.0000,29.6500,29.727,0.439,2488,0,9025
2022-07-19,F (Jan 2023),29.5700,29.6500,28.9400,29.0700,29.1346,-0.5924,3024,0,8488
2022-07-20,F (Jan 2023),29.0700,29.2500,28.8000,28.8700,28.8075,-0.3271,3172,0,8746
2022-07-21,F (Jan 2023),28.9100,29.0000,28.7000,28.8200,28.7977,-0.0098,2974,0,8749
2022-07-22,F (Jan 2023),28.9200,29.1800,28.7200,28.9500,28.9464,0.1487,2726,0,8954
2022-07-25,F (Jan 2023),29.0000,29.1000,28.7500,28.9200,28.9347,-0.0117,2642,0,9290
2022-07-26,F (Jan 2023),28.9500,29.2100,28.8800,28.9600,29.0815,0.1468,2348,0,9618
2022-07-27,F (Jan 2023),28.9500,28.9500,28.4500,28.5500,28.5431,-0.5384,3531,0,10372
2022-07-28,F (Jan 2023),28.5700,28.7000,27.9500,27.9700,28.0696,-0.4735,3280,0,10768
2022-07-29,F (Jan 2023),27.9000,28.0000,27.6000,27.6800,27.70,-0.3696,3256,0,11217
2022-08-01,F (Jan 2023),27.7000,28.2000,27.6000,28.1100,28.1429,0.4429,4412,0,12650
2022-08-02,F (Jan 2023),28.1300,28.6000,27.9000,28.5200,28.5148,0.3719,4067,0,12694
2022-08-03,F (Jan 2023),28.4800,28.5500,27.9100,28.0200,27.95,-0.5648,3537,0,13290
2022-08-04,F (Jan 2023),28.0800,28.4000,28.0500,28.3000,28.2488,0.2988,3071,0,13951
2022-08-05,F (Jan 2023),28.2800,28.6500,28.1700,28.2600,28.2158,-0.0330,2667,0,14030
2022-08-08,F (Jan 2023),28.2500,28.4700,28.0100,28.2300,28.2927,0.0769,2954,0,14095
2022-08-09,F (Jan 2023),28.2000,28.6000,28.2000,28.4100,28.45,0.1573,3372,0,13928
2022-08-10,F (Jan 2023),28.4500,28.5500,27.6000,27.7700,27.7053,-0.7447,3324,0,14236
2022-08-11,F (Jan 2023),27.7500,28.0500,27.5800,27.6500,27.80,0.0947,3220,0,14390
2022-08-12,F (Jan 2023),27.7500,27.8000,27.3700,27.5000,27.5367,-0.2633,4718,0,15204
