Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2015-11-23,Q (Aug 2016),0.0000,19.5000,21.5000,0.0000,20.5000,0,0,0,0
2015-11-24,Q (Aug 2016),0.0000,19.5000,21.5000,0.0000,21.0250,0.5250,0,0,0
2015-11-25,Q (Aug 2016),0.0000,20.3000,20.9000,0.0000,21.1000,0.0750,0,0,0
2015-11-27,Q (Aug 2016),0.0000,20.3000,20.8500,0.0000,20.7750,-0.3250,0,0,0
2015-11-30,Q (Aug 2016),20.3000,20.3200,20.3000,20.3200,20.4000,-0.3750,2,0,1
2015-12-01,Q (Aug 2016),20.3000,20.3000,20.0800,20.0800,19.9750,-0.4250,5,0,4
2015-12-02,Q (Aug 2016),20.0000,20.0500,19.9000,20.0400,19.9250,-0.0500,6,0,5
2015-12-03,Q (Aug 2016),20.3500,20.5200,20.1500,20.3300,20.3750,0.4500,321,0,322
2015-12-04,Q (Aug 2016),20.3500,20.3500,19.9400,19.9400,21.8000,1.4250,114,0,424
2015-12-07,Q (Aug 2016),20.4000,20.4600,20.2000,20.4600,20.0500,-1.7500,4,0,425
2015-12-08,Q (Aug 2016),20.1500,20.4000,20.1000,20.2200,20.1750,0.1250,77,0,500
2015-12-09,Q (Aug 2016),20.4500,20.7700,20.2500,20.4500,20.4250,0.2500,4,0,502
2015-12-10,Q (Aug 2016),0.0000,20.6000,20.6500,0.0000,20.7500,0.3250,0,0,502
2015-12-11,Q (Aug 2016),20.7500,21.7900,20.7400,21.7900,21.7750,1.0250,244,0,728
2015-12-14,Q (Aug 2016),21.7800,22.0800,20.9500,21.0500,21.3000,-0.4750,115,0,807
2015-12-15,Q (Aug 2016),20.9900,21.2000,20.5500,20.6500,20.3750,-0.9250,30,0,829
2015-12-16,Q (Aug 2016),20.2000,20.5000,19.9300,20.0800,20.2000,-0.1750,197,0,970
2015-12-17,Q (Aug 2016),20.1600,20.7500,20.0000,20.7500,20.7250,0.5250,90,0,1038
2015-12-18,Q (Aug 2016),20.7300,21.3500,20.6500,21.3500,21.3500,0.6250,132,0,1124
2015-12-21,Q (Aug 2016),21.2800,21.2800,20.7000,20.8000,20.6500,-0.7000,142,0,1233
2015-12-22,Q (Aug 2016),20.6700,20.8000,20.1500,20.1500,20.1750,-0.4750,448,0,1511
2015-12-23,Q (Aug 2016),20.0200,20.2500,20.0000,20.1500,20.1500,-0.0250,111,0,1547
2015-12-24,Q (Aug 2016),20.2300,20.3000,20.1500,20.3000,20.2750,0.1250,85,0,1552
2015-12-28,Q (Aug 2016),20.3000,20.4700,19.9000,20.0100,19.8750,-0.4000,82,0,1611
2015-12-29,Q (Aug 2016),19.7600,19.9000,19.6700,19.7700,19.7000,-0.1750,125,0,1677
2015-12-30,Q (Aug 2016),19.8500,20.1100,19.7500,20.1000,20.1250,0.4250,37,0,1706
2015-12-31,Q (Aug 2016),20.1500,20.2000,20.0000,20.0500,20.1250,0.0000,20,0,1724
2016-01-04,Q (Aug 2016),20.1500,21.0000,20.1000,20.4800,20.4250,0.3000,263,0,1899
