Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2022-05-23,G (Feb 2023),0.0000,28.6000,29.6500,0.0000,29.125,0,0,0,0
2022-05-24,G (Feb 2023),29.5200,29.5200,29.5000,29.5000,29.225,0.100,5,0,5
2022-05-25,G (Feb 2023),29.3500,29.3500,29.2500,29.3500,28.925,-0.300,1,0,6
2022-05-26,G (Feb 2023),28.6000,28.6000,28.5000,28.5000,28.625,-0.300,51,0,53
2022-05-27,G (Feb 2023),28.3700,28.4000,28.3000,28.4000,28.375,-0.250,6,0,58
2022-05-31,G (Feb 2023),28.4500,28.8000,28.4500,28.8000,28.70,0.325,3,0,61
2022-06-01,G (Feb 2023),28.7500,28.7500,28.2800,28.2800,28.35,-0.35,5,0,65
2022-06-02,G (Feb 2023),27.9900,28.3500,27.7500,27.8500,27.90,-0.45,52,0,105
2022-06-03,G (Feb 2023),28.0500,28.1500,28.0300,28.1000,28.20,0.30,112,0,213
2022-06-06,G (Feb 2023),28.2200,28.4200,28.0500,28.2800,28.275,0.075,50,0,258
2022-06-07,G (Feb 2023),28.5000,28.6500,28.1500,28.1500,28.225,-0.050,233,0,477
2022-06-08,G (Feb 2023),28.2500,28.4400,28.2500,28.3000,28.275,0.050,51,0,523
2022-06-09,G (Feb 2023),28.3000,28.9500,28.3000,28.9500,28.80,0.525,78,0,585
2022-06-10,G (Feb 2023),29.5000,29.8000,29.0000,29.5000,29.525,0.725,179,0,710
2022-06-13,G (Feb 2023),30.0000,30.5500,29.8000,30.4000,30.625,1.100,93,0,748
2022-06-14,G (Feb 2023),30.4000,30.7000,30.3000,30.4500,30.375,-0.250,170,0,900
2022-06-15,G (Feb 2023),30.2500,30.6500,29.5500,29.7900,29.875,-0.500,185,0,907
2022-06-16,G (Feb 2023),29.6500,30.8800,29.6500,30.7500,30.775,0.900,304,0,1065
2022-06-17,G (Feb 2023),30.5500,30.7500,30.0500,30.2200,30.25,-0.525,164,0,1054
2022-06-21,G (Feb 2023),30.1200,30.6000,29.3500,29.6500,29.80,-0.45,306,0,1121
2022-06-22,G (Feb 2023),29.9500,30.0500,29.3500,29.3500,29.35,-0.45,323,0,1182
2022-06-23,G (Feb 2023),29.4600,29.6000,29.2000,29.4000,29.325,-0.025,184,0,1189
