Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2023-03-27,Z (Dec 2023),24.2500,24.2500,23.8100,23.8100,24.025,0,26,0,25
2023-03-28,Z (Dec 2023),23.8800,23.9500,23.7000,23.7000,23.75,-0.275,93,0,115
2023-03-29,Z (Dec 2023),23.7300,23.7300,23.3000,23.3000,23.425,-0.325,1322,0,1426
2023-03-30,Z (Dec 2023),23.3700,23.6700,23.3500,23.5300,23.60,0.175,667,0,2061
2023-03-31,Z (Dec 2023),23.8500,23.9000,23.5000,23.5000,23.55,-0.05,265,0,2318
2023-04-03,Z (Dec 2023),23.6000,23.7500,23.4200,23.4200,23.375,-0.175,38,0,2346
2023-04-04,Z (Dec 2023),23.6300,24.0000,23.5000,23.8200,23.85,0.475,505,0,2773
2023-04-05,Z (Dec 2023),24.0000,24.2200,23.9000,23.9800,23.975,0.125,30,0,2792
2023-04-06,Z (Dec 2023),24.2000,24.2000,23.9000,24.0000,23.95,-0.025,126,0,2902
2023-04-10,Z (Dec 2023),24.0500,24.1500,23.7400,23.7500,23.70,-0.25,261,0,3145
2023-04-11,Z (Dec 2023),23.7000,23.7600,23.5500,23.7200,23.75,0.05,226,0,3358
2023-04-12,Z (Dec 2023),23.7400,23.7500,23.3700,23.7200,23.70,-0.05,136,0,3389
2023-04-13,Z (Dec 2023),23.6200,23.6500,23.4000,23.4200,23.45,-0.25,317,0,3663
2023-04-14,Z (Dec 2023),23.6500,23.7000,23.5500,23.6200,23.625,0.175,68,0,3667
2023-04-17,Z (Dec 2023),23.6100,23.6100,23.2800,23.5200,23.475,-0.150,393,0,3978
2023-04-18,Z (Dec 2023),23.6000,23.7500,23.5500,23.6500,23.65,0.175,216,0,4158
2023-04-19,Z (Dec 2023),23.8500,23.9600,23.6300,23.6300,23.70,0.05,146,0,4269
2023-04-20,Z (Dec 2023),23.7200,24.1000,23.7000,23.9500,23.975,0.275,275,0,4436
2023-04-21,Z (Dec 2023),23.9500,24.0600,23.9000,23.9800,23.975,0.000,366,0,4686
2023-04-24,Z (Dec 2023),24.0700,24.1000,23.9500,23.9900,24.00,0.025,161,0,4808
2023-04-25,Z (Dec 2023),24.0100,24.7700,24.0100,24.6000,24.75,0.75,365,0,5026
2023-04-26,Z (Dec 2023),24.6900,24.7500,24.1500,24.4700,24.45,-0.30,733,0,5390
2023-04-27,Z (Dec 2023),24.3400,24.4000,24.1500,24.2200,24.25,-0.20,388,0,5539
2023-04-28,Z (Dec 2023),24.2700,24.4400,24.2000,24.2600,24.275,0.025,303,0,5682
2023-05-01,Z (Dec 2023),24.3100,24.3500,23.9000,24.1000,24.05,-0.225,467,0,5851
2023-05-02,Z (Dec 2023),24.1500,24.8500,24.0500,24.3200,24.30,0.25,815,0,6448
2023-05-03,Z (Dec 2023),24.4000,24.8000,24.2500,24.8000,24.60,0.30,876,0,6844
2023-05-04,Z (Dec 2023),24.8500,25.1000,24.7000,25.0000,24.975,0.375,730,0,7209
2023-05-05,Z (Dec 2023),24.8100,24.9000,24.2500,24.4300,24.35,-0.625,593,0,7467
2023-05-08,Z (Dec 2023),24.4000,24.5500,24.2500,24.2500,24.25,-0.10,322,0,7637
2023-05-09,Z (Dec 2023),24.3200,24.3500,24.1200,24.2500,24.175,-0.075,289,0,7676
2023-05-10,Z (Dec 2023),24.2000,24.3100,23.8700,23.9700,23.95,-0.225,266,0,7720
2023-05-11,Z (Dec 2023),23.8500,24.2100,23.7000,23.7000,23.75,-0.20,317,0,7884
2023-05-12,Z (Dec 2023),23.8000,24.0200,23.6400,23.8700,23.875,0.125,403,0,7957
2023-05-15,Z (Dec 2023),23.8500,23.9200,23.6900,23.7500,23.725,-0.150,516,0,8093
2023-05-16,Z (Dec 2023),23.8500,24.2100,23.7500,24.1500,24.15,0.425,1255,0,8128
